Reference	ID	Tags	OrigWords	Occurrence	TWLink
2:18	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
2:18	2933	mimejpg			rc://*/tw/dict/images/t/Tomb Of Rachel
2:18	2948	mimejpg			rc://*/tw/dict/images/t/Tomb Of Rachel
2:20	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
2:21	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
3:1	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
3:3	2682	mimejpg			rc://*/tw/dict/images/r/Roman Road
3:3	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
3:4	2421	mimejpg			rc://*/tw/dict/images/b/Bees
3:4	2636	mimejpg			rc://*/tw/dict/images/a/Apron Leather
3:4	2656	mimejpg			rc://*/tw/dict/images/c/Camel Dromedary
3:4	2702	mimejpg			rc://*/tw/dict/images/l/Locust
3:4	2746	mimejpg			rc://*/tw/dict/images/l/Locust Swarm
3:4	3047	mimejpg			rc://*/tw/dict/images/d/Dromedary
3:4	3048	mimejpg			rc://*/tw/dict/images/b/Bactrian
3:4	3089	mimejpg			rc://*/tw/dict/images/b/Beesflower
3:4	3093	mimejpg			rc://*/tw/dict/images/l/Locusts
3:5	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
3:7	2415	mimejpg			rc://*/tw/dict/images/s/Snake
3:7	2416	mimejpg			rc://*/tw/dict/images/d/Desertrocksnake
3:7	2756	mimejpg			rc://*/tw/dict/images/v/Viper
3:9	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
3:10	2650	mimejpg			rc://*/tw/dict/images/a/Adze
3:10	2651	mimejpg			rc://*/tw/dict/images/a/Adze
3:10	2668	mimejpg			rc://*/tw/dict/images/a/Axe
3:10	2751	mimejpg			rc://*/tw/dict/images/h/Hoe
3:10	2752	mimejpg			rc://*/tw/dict/images/h/Hoe Blade Roman
3:10	2813	mimejpg			rc://*/tw/dict/images/f/Fire
3:10	2941	mimejpg			rc://*/tw/dict/images/r/Root Swelling
3:10	3149	mimejpg			rc://*/tw/dict/images/a/Adze
3:10	3248	mimejpg			rc://*/tw/dict/images/a/Adze
3:11	2813	mimejpg			rc://*/tw/dict/images/f/Fire
3:11	3229	mimejpg			rc://*/tw/dict/images/s/Sandals
3:12	2477	mimejpg			rc://*/tw/dict/images/t/Threshing
3:12	2483	mimejpg			rc://*/tw/dict/images/w/Wheatfield
3:12	2567	mimejpg			rc://*/tw/dict/images/t/Threshing Floor
3:12	2568	mimejpg			rc://*/tw/dict/images/w/Winnowing Shovel
3:12	2569	mimejpg			rc://*/tw/dict/images/s/Sieve
3:12	2657	mimejpg			rc://*/tw/dict/images/c/Cornfield
3:12	2660	mimejpg			rc://*/tw/dict/images/t/Threshing Floor
3:12	2661	mimejpg			rc://*/tw/dict/images/t/Threshing Sledge
3:12	2813	mimejpg			rc://*/tw/dict/images/f/Fire
3:12	3112	mimejpg			rc://*/tw/dict/images/w/Wheat Head
3:16	2385	mimejpg			rc://*/tw/dict/images/d/Dove
3:16	2386	mimejpg			rc://*/tw/dict/images/p/Pigeon
3:16	2934	mimejpg			rc://*/tw/dict/images/r/Rock Pigeons
3:16	2935	mimejpg			rc://*/tw/dict/images/c/Columba Livia
4:1	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
4:3	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
4:4	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
4:8	2776	mimejpg			rc://*/tw/dict/images/c/Corinth03
4:15	2682	mimejpg			rc://*/tw/dict/images/r/Roman Road
4:18	2571	mimejpg			rc://*/tw/dict/images/d/Drag Net
4:20	3152	mimejpg			rc://*/tw/dict/images/t/Trammel Net
4:21	2853	mimejpg			rc://*/tw/dict/images/s/Sail
4:21	2902	mimejpg			rc://*/tw/dict/images/g/Galilee Boat
4:21	3152	mimejpg			rc://*/tw/dict/images/t/Trammel Net
4:22	2853	mimejpg			rc://*/tw/dict/images/s/Sail
4:22	2902	mimejpg			rc://*/tw/dict/images/g/Galilee Boat
4:25	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
5:1	2776	mimejpg			rc://*/tw/dict/images/c/Corinth03
5:13	2691	mimejpg			rc://*/tw/dict/images/t/Table Salt
5:14	2776	mimejpg			rc://*/tw/dict/images/c/Corinth03
5:15	2669	mimejpg			rc://*/tw/dict/images/b/Basket
5:15	3208	mimejpg			rc://*/tw/dict/images/l/Lamp
5:22	2813	mimejpg			rc://*/tw/dict/images/f/Fire
5:22	2855	mimejpg			rc://*/tw/dict/images/s/Sanhedrin
5:34	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
5:34	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
5:34	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
5:35	2685	mimejpg			rc://*/tw/dict/images/a/Ashurnasirpal Ii Throne
5:35	2802	mimejpg			rc://*/tw/dict/images/d/Darius
5:35	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
5:35	3211	mimejpg			rc://*/tw/dict/images/f/Footstool
5:45	2910	mimejpg			rc://*/tw/dict/images/r/Rain
5:45	2945	mimejpg			rc://*/tw/dict/images/r/Rain Coming In
5:45	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
6:5	2682	mimejpg			rc://*/tw/dict/images/r/Roman Road
6:11	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
6:19	2747	mimejpg			rc://*/tw/dict/images/m/Moth
6:19	2748	mimejpg			rc://*/tw/dict/images/m/Moth Larva
6:19	3094	mimejpg			rc://*/tw/dict/images/m/Moth Larva
6:19	3095	mimejpg			rc://*/tw/dict/images/m/Moth
6:20	2747	mimejpg			rc://*/tw/dict/images/m/Moth
6:20	2748	mimejpg			rc://*/tw/dict/images/m/Moth Larva
6:20	3094	mimejpg			rc://*/tw/dict/images/m/Moth Larva
6:20	3095	mimejpg			rc://*/tw/dict/images/m/Moth
6:22	3208	mimejpg			rc://*/tw/dict/images/l/Lamp
6:26	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
6:26	2705	mimejpg			rc://*/tw/dict/images/b/Birds Nest
6:26	2706	mimejpg			rc://*/tw/dict/images/f/Flock Of Birds
6:26	3183	mimejpg			rc://*/tw/dict/images/g/Grain Store
7:6	2360	mimejpg			rc://*/tw/dict/images/f/Fox
7:6	2362	mimejpg			rc://*/tw/dict/images/j/Jackal
7:6	2843	mimejpg			rc://*/tw/dict/images/w/White Pearl Necklace
7:6	2844	mimejpg			rc://*/tw/dict/images/b/Black Pigs
7:6	3050	mimejpg			rc://*/tw/dict/images/d/Dogs
7:6	3061	mimejpg			rc://*/tw/dict/images/p/Pigs
7:9	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
7:10	2415	mimejpg			rc://*/tw/dict/images/s/Snake
7:10	2416	mimejpg			rc://*/tw/dict/images/d/Desertrocksnake
7:10	2417	mimejpg			rc://*/tw/dict/images/f/Fish En
7:10	2756	mimejpg			rc://*/tw/dict/images/v/Viper
7:10	3085	mimejpg			rc://*/tw/dict/images/f/Fish En
7:10	3086	mimejpg			rc://*/tw/dict/images/f/Fishes
7:11	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
7:13	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
7:13	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
7:13	2682	mimejpg			rc://*/tw/dict/images/r/Roman Road
7:14	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
7:14	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
7:15	2380	mimejpg			rc://*/tw/dict/images/w/Wolf
7:16	2467	mimejpg			rc://*/tw/dict/images/f/Fig Fresh
7:16	2563	mimejpg			rc://*/tw/dict/images/m/Milk Thistle
7:16	2755	mimejpg			rc://*/tw/dict/images/s/Spines Thorny Burnet Plant
7:16	3108	mimejpg			rc://*/tw/dict/images/g/Grape
7:16	3247	mimejpg			rc://*/tw/dict/images/a/Acaciathorns
7:19	2813	mimejpg			rc://*/tw/dict/images/f/Fire
7:25	2910	mimejpg			rc://*/tw/dict/images/r/Rain
7:25	2945	mimejpg			rc://*/tw/dict/images/r/Rain Coming In
7:26	2915	mimejpg			rc://*/tw/dict/images/s/Sand
7:27	2910	mimejpg			rc://*/tw/dict/images/r/Rain
7:27	2945	mimejpg			rc://*/tw/dict/images/r/Rain Coming In
8:1	2776	mimejpg			rc://*/tw/dict/images/c/Corinth03
8:2	2753	mimejpg			rc://*/tw/dict/images/s/Skin Disease
8:3	2753	mimejpg			rc://*/tw/dict/images/s/Skin Disease
8:20	2360	mimejpg			rc://*/tw/dict/images/f/Fox
8:20	2361	mimejpg			rc://*/tw/dict/images/f/Fennec
8:20	2362	mimejpg			rc://*/tw/dict/images/j/Jackal
8:20	2705	mimejpg			rc://*/tw/dict/images/b/Birds Nest
8:20	2706	mimejpg			rc://*/tw/dict/images/f/Flock Of Birds
8:20	3056	mimejpg			rc://*/tw/dict/images/f/Fennec
8:23	2853	mimejpg			rc://*/tw/dict/images/s/Sail
8:23	2902	mimejpg			rc://*/tw/dict/images/g/Galilee Boat
8:24	2853	mimejpg			rc://*/tw/dict/images/s/Sail
8:24	2902	mimejpg			rc://*/tw/dict/images/g/Galilee Boat
8:28	2682	mimejpg			rc://*/tw/dict/images/r/Roman Road
8:28	2956	mimejpg			rc://*/tw/dict/images/r/Rock Cut Tomb
8:30	2360	mimejpg			rc://*/tw/dict/images/f/Fox
8:30	2362	mimejpg			rc://*/tw/dict/images/j/Jackal
8:30	2844	mimejpg			rc://*/tw/dict/images/b/Black Pigs
8:30	3061	mimejpg			rc://*/tw/dict/images/p/Pigs
8:31	2360	mimejpg			rc://*/tw/dict/images/f/Fox
8:31	2362	mimejpg			rc://*/tw/dict/images/j/Jackal
8:31	2844	mimejpg			rc://*/tw/dict/images/b/Black Pigs
8:31	3061	mimejpg			rc://*/tw/dict/images/p/Pigs
8:32	2360	mimejpg			rc://*/tw/dict/images/f/Fox
8:32	2362	mimejpg			rc://*/tw/dict/images/j/Jackal
8:32	2844	mimejpg			rc://*/tw/dict/images/b/Black Pigs
8:32	3061	mimejpg			rc://*/tw/dict/images/p/Pigs
9:1	2853	mimejpg			rc://*/tw/dict/images/s/Sail
9:1	2902	mimejpg			rc://*/tw/dict/images/g/Galilee Boat
9:17	3219	mimejpg			rc://*/tw/dict/images/w/Waterskin
9:20	3224	mimejpg			rc://*/tw/dict/images/f/Fringe En
9:23	2638	mimejpg			rc://*/tw/dict/images/f/Flute Bamboo
9:23	3233	mimejpg			rc://*/tw/dict/images/f/Flute
9:36	2858	mimejpg			rc://*/tw/dict/images/g/Good Shepherd
9:36	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
9:36	3062	mimejpg			rc://*/tw/dict/images/s/Shepherd
9:37	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
9:38	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
10:5	2682	mimejpg			rc://*/tw/dict/images/r/Roman Road
10:8	2753	mimejpg			rc://*/tw/dict/images/s/Skin Disease
10:10	3229	mimejpg			rc://*/tw/dict/images/s/Sandals
10:16	2380	mimejpg			rc://*/tw/dict/images/w/Wolf
10:16	2385	mimejpg			rc://*/tw/dict/images/d/Dove
10:16	2386	mimejpg			rc://*/tw/dict/images/p/Pigeon
10:16	2415	mimejpg			rc://*/tw/dict/images/s/Snake
10:16	2416	mimejpg			rc://*/tw/dict/images/d/Desertrocksnake
10:16	2756	mimejpg			rc://*/tw/dict/images/v/Viper
10:16	2934	mimejpg			rc://*/tw/dict/images/r/Rock Pigeons
10:16	2935	mimejpg			rc://*/tw/dict/images/c/Columba Livia
10:17	2749	mimejpg			rc://*/tw/dict/images/w/Whip
10:17	2855	mimejpg			rc://*/tw/dict/images/s/Sanhedrin
10:17	3142	mimejpg			rc://*/tw/dict/images/s/Soldier With Whip
10:21	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
10:29	2405	mimejpg			rc://*/tw/dict/images/s/Sparrow
10:29	2406	mimejpg			rc://*/tw/dict/images/s/Sparrows
10:31	2405	mimejpg			rc://*/tw/dict/images/s/Sparrow
10:31	2406	mimejpg			rc://*/tw/dict/images/s/Sparrows
10:34	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
10:38	3189	mimejpg			rc://*/tw/dict/images/c/Cross
11:5	2753	mimejpg			rc://*/tw/dict/images/s/Skin Disease
11:7	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
11:7	2707	mimejpg			rc://*/tw/dict/images/r/Reed Cluster
11:7	2708	mimejpg			rc://*/tw/dict/images/r/Reed Giant
11:7	3127	mimejpg			rc://*/tw/dict/images/r/Reed
11:7	3128	mimejpg			rc://*/tw/dict/images/r/Reed Cluster
11:7	3129	mimejpg			rc://*/tw/dict/images/r/Reed Stalk
11:16	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
11:17	2638	mimejpg			rc://*/tw/dict/images/f/Flute Bamboo
11:17	3233	mimejpg			rc://*/tw/dict/images/f/Flute
11:21	2957	mimejpg			rc://*/tw/dict/images/s/Sackcloth
11:21	2958	mimejpg			rc://*/tw/dict/images/s/Sackcloth Sacking
11:21	2962	mimejpg			rc://*/tw/dict/images/a/Ash
11:25	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
11:29	2881	mimejpg			rc://*/tw/dict/images/y/Yoke Bullock
11:29	3141	mimejpg			rc://*/tw/dict/images/s/Slaves In Yokes
11:29	3144	mimejpg			rc://*/tw/dict/images/p/Plowing En
11:30	2881	mimejpg			rc://*/tw/dict/images/y/Yoke Bullock
11:30	3141	mimejpg			rc://*/tw/dict/images/s/Slaves In Yokes
11:30	3144	mimejpg			rc://*/tw/dict/images/p/Plowing En
12:1	2483	mimejpg			rc://*/tw/dict/images/w/Wheatfield
12:1	2657	mimejpg			rc://*/tw/dict/images/c/Cornfield
12:4	2621	mimejpg			rc://*/tw/dict/images/s/Showbread
12:19	2682	mimejpg			rc://*/tw/dict/images/r/Roman Road
12:20	2707	mimejpg			rc://*/tw/dict/images/r/Reed Cluster
12:20	2708	mimejpg			rc://*/tw/dict/images/r/Reed Giant
12:20	3127	mimejpg			rc://*/tw/dict/images/r/Reed
12:20	3128	mimejpg			rc://*/tw/dict/images/r/Reed Cluster
12:20	3129	mimejpg			rc://*/tw/dict/images/r/Reed Stalk
12:34	2415	mimejpg			rc://*/tw/dict/images/s/Snake
12:34	2416	mimejpg			rc://*/tw/dict/images/d/Desertrocksnake
12:34	2756	mimejpg			rc://*/tw/dict/images/v/Viper
12:40	2417	mimejpg			rc://*/tw/dict/images/f/Fish En
12:40	3085	mimejpg			rc://*/tw/dict/images/f/Fish En
12:40	3086	mimejpg			rc://*/tw/dict/images/f/Fishes
13:2	2853	mimejpg			rc://*/tw/dict/images/s/Sail
13:2	2902	mimejpg			rc://*/tw/dict/images/g/Galilee Boat
13:4	2682	mimejpg			rc://*/tw/dict/images/r/Roman Road
13:4	2705	mimejpg			rc://*/tw/dict/images/b/Birds Nest
13:4	2706	mimejpg			rc://*/tw/dict/images/f/Flock Of Birds
13:6	2941	mimejpg			rc://*/tw/dict/images/r/Root Swelling
13:6	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
13:7	2563	mimejpg			rc://*/tw/dict/images/m/Milk Thistle
13:7	2755	mimejpg			rc://*/tw/dict/images/s/Spines Thorny Burnet Plant
13:7	3247	mimejpg			rc://*/tw/dict/images/a/Acaciathorns
